Day,Date,New Visitor,Returning Visitor
Wednesday,10/16/2019,5006,5937
Thursday,10/17/2019,4531,5578
Friday,10/18/2019,3941,4449
Saturday,10/19/2019,3124,2551
Sunday,10/20/2019,3589,3105
Monday,10/21/2019,4532,4622
Tuesday,10/22/2019,4635,6483
Wednesday,10/23/2019,4776,6271
Thursday,10/24/2019,5271,6664
Friday,10/25/2019,3989,4760
Saturday,10/26/2019,3673,2644
Sunday,10/27/2019,3711,3587
Monday,10/28/2019,4683,6617
Tuesday,10/29/2019,4889,6363
Wednesday,10/30/2019,4705,6373
Thursday,10/31/2019,4323,5223
Friday,11/1/2019,5140,5013
Saturday,11/2/2019,3873,2927
Sunday,11/3/2019,3941,3960
Monday,11/4/2019,5443,7198
Tuesday,11/5/2019,5803,6933
Wednesday,11/6/2019,5400,6855
Thursday,11/7/2019,4966,6327
Friday,11/8/2019,4268,5098
Saturday,11/9/2019,3606,2919
Sunday,11/10/2019,3646,3995
Monday,11/11/2019,5169,6907
Tuesday,11/12/2019,5528,6980
Wednesday,11/13/2019,5393,7261
Thursday,11/14/2019,5765,7518
Friday,11/15/2019,4818,5659
Saturday,11/16/2019,3382,2975
Sunday,11/17/2019,3598,3921
Monday,11/18/2019,5050,7342
Tuesday,11/19/2019,4934,7075
Wednesday,11/20/2019,4933,7065
Thursday,11/21/2019,4403,6552
Friday,11/22/2019,4013,5115
Saturday,11/23/2019,3233,2757
Sunday,11/24/2019,3116,3374
Monday,11/25/2019,4499,5622
Tuesday,11/26/2019,4373,4827
Wednesday,11/27/2019,3859,3646
Thursday,11/28/2019,3625,2001
Friday,11/29/2019,4020,2501
Saturday,11/30/2019,3348,3122
Sunday,12/1/2019,5298,4887
Monday,12/2/2019,5655,7499
Tuesday,12/3/2019,6199,7318
Wednesday,12/4/2019,6083,7328
Thursday,12/5/2019,5403,6423
Friday,12/6/2019,4385,5166
Saturday,12/7/2019,4315,3978
Sunday,12/8/2019,4449,4489
Monday,12/9/2019,5129,7026
Tuesday,12/10/2019,5067,6926
Wednesday,12/11/2019,5151,6597
Thursday,12/12/2019,4669,5721
Friday,12/13/2019,4304,4960
Saturday,12/14/2019,4436,2946
Sunday,12/15/2019,3328,2840
Monday,12/16/2019,5246,5718
Tuesday,12/17/2019,4621,4753
Wednesday,12/18/2019,5660,4455
Thursday,12/19/2019,5132,4975
Friday,12/20/2019,4129,4053
Saturday,12/21/2019,3682,2264
Sunday,12/22/2019,2998,1927
Monday,12/23/2019,3303,2307
Tuesday,12/24/2019,2476,1592
Wednesday,12/25/2019,2330,1457
Thursday,12/26/2019,3375,3109
Friday,12/27/2019,3938,3298
